"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Camp",0,-1.67521663382494,0.996,1,0
"Thbs1",0,-1.21517916565008,0.025,0.415,0
"Ltf",0,-0.989048343628557,0.896,0.95,0
"G0s2",9.6065624949517e-230,-0.856215771968593,0.428,0.653,2.68964536733658e-225
"Syne1",0,-0.851666689228762,0.324,0.612,0
"Cebpe",0,-0.846156604501579,0.418,0.707,0
"Ngp",5.68114962894055e-242,-0.813416185739763,0.998,0.997,1.59060827311077e-237
"Cd3d",8.58847992935811e-292,-0.797411802028643,0.482,0.735,2.40460261062168e-287
"Stk39",0,-0.783147256926392,0.078,0.394,0
"Cpne3",5.15329633915334e-287,-0.748144228278714,0.504,0.712,1.44281990903615e-282
"Cybb",0,-0.735232068745722,0.758,0.94,0
"Mpc2",0,-0.702350112325957,0.628,0.82,0
"Hspa1a",4.46157649826192e-41,-0.654823236539982,0.23,0.32,1.24915218798337e-36
"Ly6g",2.0846019660354e-197,-0.647488834887165,0.653,0.817,5.83646858450592e-193
"St3gal5",2.81451415052027e-230,-0.645578642798236,0.394,0.632,7.88007671862665e-226
"Adpgk",1.97192512600332e-230,-0.625416526505704,0.579,0.796,5.52099596778408e-226
"Flna",7.18727889405581e-291,-0.623256503765864,0.629,0.802,2.01229434475774e-286
"C3",1.51144484164686e-230,-0.614564786246705,0.475,0.659,4.23174326764287e-226
"Cxcr4",1.86596122130585e-243,-0.604169017485178,0.304,0.54,5.22431822741213e-239
"Trp53inp2",4.83781983984516e-188,-0.583828140648096,0.249,0.45,1.35449279875985e-183
